date,site,category,product,price,url
2026-07-18,The Baseball Shop,Accessories,0.5mm,14.99,https://www.thebaseballshop.co.uk/baseball-accessories-c8/player-accessories-c20/lizard-skins-ultra-grip-blitz-camo-p659#attribute_2_=38
2026-07-18,The Baseball Shop,Accessories,1.1mm,14.99,https://www.thebaseballshop.co.uk/baseball-accessories-c8/player-accessories-c20/lizard-skins-lizard-skin-ultra-bat-grip-canary-camo-p1362#attribute_2_=39
2026-07-18,The Baseball Shop,Accessories,1.8mm,14.99,https://www.thebaseballshop.co.uk/baseball-accessories-c8/player-accessories-c20/lizard-skins-ultra-grip-purple-p707#attribute_2_=40
2026-07-18,The Baseball Shop,Accessories,A2000 Glove Care Kit,39.99,https://www.thebaseballshop.co.uk/baseball-accessories-c8/player-accessories-c20/wilson-a2000-glove-care-kit-p1227
2026-07-18,The Baseball Shop,Accessories,Adult,9.99,https://www.thebaseballshop.co.uk/baseball-accessories-c8/player-accessories-c20/wilson-evo-elastic-belt-blk-p1058#attribute_2_=29
2026-07-18,The Baseball Shop,Accessories,Baden   BL9 Big Leaguer Baseball,5.99,https://www.thebaseballshop.co.uk/baseballs-c27/baseballs-c28/baden-bl9-big-leaguer-baseball-p714
2026-07-18,Baseball & Softball Shop,Accessories,Baseball &  Softball Shop E-Gift Voucher,5.0,https://www.baseballandsoftball.co.uk/products/baseball-softball-shop-e-gift-voucher
2026-07-18,The Baseball Shop,Accessories,BB / SB SCORE BOOK,9.99,https://www.thebaseballshop.co.uk/baseball-accessories-c8/team-accessories-c22/wilson-bb-sb-score-book-p48
2026-07-18,The Baseball Shop,Accessories,Bow Net  BARI FUNGO SCREEN,129.99,https://www.thebaseballshop.co.uk/baseball-field-equipment-c70/bow-net-bari-fungo-screen-p339
2026-07-18,The Baseball Shop,Accessories,Bow Net  BIG MOUTH JUNIOR,99.99,https://www.thebaseballshop.co.uk/baseball-field-equipment-c70/bow-net-big-mouth-junior-p843
2026-07-18,The Baseball Shop,Accessories,Bow Net  BP BALL CADDY,49.99,https://www.thebaseballshop.co.uk/baseball-field-equipment-c70/bow-net-bp-ball-caddy-p782
